,FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: grain size ($\mu$m),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm)
169,Co1 Cr1 Cu1 Fe1 Ni1 Ti1,FCC,CAST,FCC,,,7.4,,C,25.0,1272.0,1272.0,2.0,0.0,,185.0,,,
170,Co1 Cr1 Cu1 Fe1 Ni1 Ti0.5,FCC,CAST,FCC,,,7.8,,C,25.0,700.0,1650.0,22.0,21.6,,194.0,,,
176,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,FCC,,,7.6,225.0,,25.0,,,,,,189.0,,,
178,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.2,FCC,CAST,FCC,,,7.5,272.0,,25.0,,,,,,185.0,,,
179,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.4,FCC,CAST,FCC,,,7.3,321.0,,25.0,,,,,,182.0,,,
187,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,FCC,,,7.6,215.0,,25.0,,,,,,189.0,,,
188,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V0.2,FCC,CAST,FCC,,,7.6,204.0,,25.0,,,,,,186.0,,,
193,Al0.417 Co0.833 Cr0.833 Cu0.833 Fe0.833 Ni0.833 V1,BCC,CAST,BCC,,,7.3,579.0,,25.0,,,,,,177.0,,,
194,Al0.357 Co0.714 Cr0.714 Cu0.714 Fe0.714 Ni0.714 V1,BCC,CAST,BCC,,,7.3,577.0,,25.0,,,,,,175.0,,,
195,Al0.312 Co0.625 Cr0.625 Cu0.625 Fe0.625 Ni0.625 V1,BCC,CAST,BCC,,,7.2,594.0,,25.0,,,,,,174.0,,,
196,Al0.278 Co0.556 Cr0.556 Cu0.556 Fe0.556 Ni0.556 V1,BCC,CAST,BCC,,,7.2,597.0,,25.0,,,,,,172.0,,,
197,Al0.25 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5 V1,BCC,CAST,BCC,,,7.2,587.0,,25.0,,,,,,171.0,,,
208,Al1 Co1 Cr1 Cu1 Ni1 Ti1,BCC,,BCC,,,6.4,,C,25.0,,1495.0,,8.0,36.0,157.0,,,
212,Co1 Cu1 Fe1 Ni1,FCC,CAST,FCC,,,8.6,,T,25.0,,480.0,,15.0,,187.0,,,
213,Co1 Cu1 Fe1 Ni1 Sn0.02,FCC,CAST,FCC,,,8.6,,T,25.0,,548.0,,17.0,,185.0,,,
220,Co1 Cu1 Fe1 Mn1 Ni1,FCC,CAST,FCC,,,8.4,208.0,T,25.0,,478.0,,14.0,,189.0,,,
221,Co1 Cu1 Fe1 Mn1 Ni1 Sn0.03,FCC,CAST,FCC,,,8.4,192.0,T,25.0,,465.0,,18.0,,187.0,,,
231,Co1 Cr1 Cu1 Fe1 Ni1,FCC,,FCC,,,8.3,286.0,C,25.0,230.0,888.0,51.0,,,206.0,,,
232,Al0.1 Cr0.5 Cu0.5 Fe0.5 Ni1,FCC,,FCC,,,8.0,,,25.0,,,,,,197.0,,,
233,Al0.2 Cr0.5 Cu0.5 Fe0.5 Ni1,FCC,,FCC,,,7.8,,,25.0,,,,,,190.0,,,
234,Al0.3 Cr0.5 Cu0.5 Fe0.5 Ni1,FCC,,FCC,,,7.5,,,25.0,,,,,,185.0,,,
235,Al0.4 Cr0.5 Cu0.5 Fe0.5 Ni1,FCC,,FCC,,,7.3,,,25.0,,,,,,179.0,,,
239,Al1 Cu0.889 Fe0.667 Ni0.889 Ti1,FCC,CAST,FCC,,,5.9,516.0,C,25.0,980.0,1326.0,,7.0,145.0,131.0,,,
240,Al1 Cu0.889 Fe0.667 Ni0.889 Ti1,FCC,CAST,FCC,,,5.9,516.0,C,25.0,980.0,1326.0,,7.0,145.0,131.0,,,
241,Al1 Cu1 Fe1 Ni1 Ti1,FCC,CAST,FCC,,,6.1,516.0,C,25.0,1074.0,1617.0,,8.0,146.0,137.0,,,
242,Al1 Cu1 Ni1 Ti1,FCC,CAST,FCC,,,5.7,537.0,C,25.0,300.0,536.0,,0.85,108.0,122.0,,,
250,Al0.214 Nb0.714 Ta0.571 Ti1 V0.143 Zr0.929,BCC,OTHER,BCC,180.0,,7.7,500.0,C,25.0,1965.0,2061.0,5.0,,,107.0,,,
251,Al0.214 Nb0.714 Ta0.571 Ti1 V0.143 Zr0.929,BCC,OTHER,BCC,,,7.7,,C,800.0,678.0,693.0,50.0,,,107.0,,,
252,Al0.214 Nb0.714 Ta0.571 Ti1 V0.143 Zr0.929,BCC,OTHER,BCC,,,7.7,,C,1000.0,166.0,189.0,50.0,,,107.0,,,
253,Al0.214 Nb0.714 Ta0.714 Ti1 Zr0.929,BCC,OTHER,BCC,200.0,,8.1,490.0,C,25.0,1965.0,2054.0,5.0,,,110.0,,,
254,Al0.214 Nb0.714 Ta0.714 Ti1 Zr0.929,BCC,OTHER,BCC,,,8.1,,C,800.0,362.0,397.0,50.0,,,110.0,,,
255,Al0.214 Nb0.714 Ta0.714 Ti1 Zr0.929,BCC,OTHER,BCC,,,8.1,,C,1000.0,236.0,247.0,50.0,,,110.0,,,
256,Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,BCC,140.0,,9.1,500.0,C,25.0,1841.0,2269.0,10.0,,,107.0,,,
257,Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,BCC,,,9.1,,C,800.0,796.0,834.0,50.0,,,107.0,,,
258,Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,BCC,,,9.1,,C,1000.0,298.0,455.0,50.0,,,107.0,,,
259,Al0.333 Nb0.667 Ta0.533 Ti1 V0.133 Zr0.667,BCC,OTHER,BCC,100.0,,7.6,530.0,C,25.0,2035.0,2105.0,5.0,,,109.0,,,
260,Al0.333 Nb0.667 Ta0.533 Ti1 V0.133 Zr0.667,BCC,OTHER,BCC,,,7.6,,C,800.0,796.0,851.0,50.0,,,109.0,,,
261,Al0.333 Nb0.667 Ta0.533 Ti1 V0.133 Zr0.667,BCC,OTHER,BCC,,,7.6,,C,1000.0,220.0,225.0,50.0,,,109.0,,,
266,Al0.667 Nb1 Ta0.333 Ti1 Zr0.333,BCC,OTHER,BCC,2000.0,,6.8,408.0,C,25.0,1280.0,1367.0,4.0,,,105.0,,,
267,Al0.667 Nb1 Ta0.333 Ti1 Zr0.333,BCC,OTHER,BCC,,,6.8,,C,800.0,728.0,1000.0,12.0,,,105.0,,,
268,Al0.667 Nb1 Ta0.333 Ti1 Zr0.333,BCC,OTHER,BCC,,,6.8,,C,1000.0,403.0,415.0,50.0,,,105.0,,,
269,Al0.3 Hf1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,105.0,,9.5,353.0,C,25.0,1188.0,,50.0,,63.0,105.0,,,
270,Al0.5 Hf1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,86.0,,9.3,396.0,C,25.0,1302.0,,46.0,,97.0,104.0,,,
271,Al0.75 Hf1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,89.0,,9.1,427.0,C,25.0,1415.0,2050.0,30.0,,102.0,103.0,,,
273,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,120.0,,9.9,295.0,C,25.0,1073.0,,50.0,,55.0,107.0,,,
274,Al0.25 Mo1 Nb1 Ti1 V1,BCC,CAST,BCC,,,7.1,460.0,C,25.0,1250.0,1500.0,13.0,,,161.0,,,
275,Al0.5 Mo1 Nb1 Ti1 V1,BCC,CAST,BCC,,,6.8,487.0,C,25.0,1625.0,1800.0,11.0,,,156.0,,,
276,Al0.75 Mo1 Nb1 Ti1 V1,BCC,CAST,BCC,,,6.6,517.0,C,25.0,1260.0,1300.0,8.0,,,151.0,,,
277,Al1 Mo1 Nb1 Ti1 V1,BCC,CAST,BCC,,,6.4,537.0,C,25.0,1375.0,1400.0,3.0,,,147.0,,,
278,Mo1 Nb1 Ti1 V1,BCC,CAST,BCC,,,7.3,441.0,C,25.0,1200.0,2050.0,26.0,,,167.0,,,
279,Al0.25 Nb1 Ta1 Ti1 V1,BCC,CAST,BCC,,,8.8,,C,25.0,1330.0,,,,,130.0,,,
280,Al0.5 Nb1 Ta1 Ti1 V1,BCC,CAST,BCC,,,8.5,,C,25.0,1014.0,,,,,127.0,,,
281,Al1 Nb1 Ta1 Ti1 V1,BCC,CAST,BCC,,,7.9,,C,25.0,993.0,,,,,122.0,,,
282,Nb1 Ta1 Ti1 V1,BCC,CAST,BCC,,,9.2,,C,25.0,1092.0,,,,,134.0,,,
283,Al1 Nb1 Ti1 V1,BCC,ANNEAL,BCC,350.0,,5.5,448.0,C,25.0,1020.0,1318.0,,5.0,,104.0,,,
284,Al1 Nb1 Ti1 V1,BCC,ANNEAL,BCC,,,5.5,,C,600.0,810.0,1050.0,,12.0,,104.0,,,
285,Al1 Nb1 Ti1 V1,BCC,ANNEAL,BCC,,,5.5,,C,800.0,685.0,,,50.0,,104.0,,,
286,Al1 Nb1 Ti1 V1,BCC,ANNEAL,BCC,,,5.5,,C,1000.0,158.0,,,50.0,,104.0,,,
299,Nb0.5 Ti0.5 V1 Zr0.5,BCC,OTHER,BCC,550.0,,6.4,304.0,C,25.0,918.0,,50.0,,,105.0,,,
300,Nb0.5 Ti0.5 V1 Zr0.5,BCC,OTHER,BCC,,,6.4,,C,600.0,571.0,,50.0,,,105.0,,,
301,Nb0.5 Ti0.5 V1 Zr0.5,BCC,OTHER,BCC,,,6.4,,C,800.0,240.0,,50.0,,,105.0,,,
302,Nb0.5 Ti0.5 V1 Zr0.5,BCC,OTHER,BCC,,,6.4,,C,1000.0,72.0,,50.0,,,105.0,,,
303,Nb1 Ti1 V1 Zr1,BCC,OTHER,BCC,550.0,,6.5,335.0,C,25.0,1105.0,,50.0,,,100.0,,,
304,Nb1 Ti1 V1 Zr1,BCC,OTHER,BCC,,,6.5,,C,600.0,834.0,,50.0,,,100.0,,,
305,Nb1 Ti1 V1 Zr1,BCC,OTHER,BCC,,,6.5,,C,800.0,187.0,,50.0,,,100.0,,,
306,Nb1 Ti1 V1 Zr1,BCC,OTHER,BCC,,,6.5,,C,1000.0,58.0,,50.0,,,100.0,,,
307,Hf0.5 Mo0.5 Nb1 Ti1 Zr1,BCC,CAST,BCC,,,7.9,,C,25.0,1176.0,1538.0,,,,115.0,,,
310,Hf1 Mo0.25 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,,9.9,395.0,C,25.0,1112.0,,50.0,,96.0,115.0,,,
311,Hf1 Mo0.5 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,,9.9,480.0,C,25.0,1317.0,,50.0,,102.0,123.0,,,
312,Hf1 Mo0.75 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,,9.9,492.0,C,25.0,1373.0,,50.0,,109.0,130.0,,,
313,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,,9.9,505.0,C,25.0,1512.0,1800.0,12.0,,115.0,137.0,,,
314,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,,9.9,335.0,C,25.0,1015.0,,50.0,,85.0,107.0,,,
315,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,,9.9,505.0,C,25.0,1512.0,,12.0,,,137.0,,,
316,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,,9.9,,C,800.0,1007.0,,23.0,,,137.0,,,
317,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,,9.9,,C,1000.0,814.0,,30.0,,,137.0,,,
318,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,,9.9,,C,1200.0,556.0,,30.0,,,137.0,,,
319,Hf1 Mo1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,,10.2,542.0,C,25.0,1600.0,1743.0,4.0,,,143.0,,,
320,Hf1 Mo1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,,10.2,,C,800.0,1045.0,1446.0,19.0,,,143.0,,,
321,Hf1 Mo1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,,10.2,,C,1000.0,855.0,,30.0,,,143.0,,,
322,Hf1 Mo1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,,10.2,,C,1200.0,404.0,,30.0,,,143.0,,,
323,Hf1 Mo1 Nb1 Ti1 Zr1,BCC,ANNEAL,BCC,,,8.7,,C,25.0,1575.0,1640.0,9.0,,,128.0,,,
324,Hf1 Mo1 Nb1 Ti1 Zr1,BCC,ANNEAL,BCC,,,8.7,,C,800.0,825.0,1095.0,50.0,,,128.0,,,
325,Hf1 Mo1 Nb1 Ti1 Zr1,BCC,ANNEAL,BCC,,,8.7,,C,1000.0,635.0,654.0,50.0,,,128.0,,,
326,Hf1 Mo1 Nb1 Ti1 Zr1,BCC,ANNEAL,BCC,,,8.7,,C,1200.0,187.0,194.0,50.0,,,128.0,,,
327,Hf1 Mo1 Nb1 Ti1 Zr1,BCC,CAST,BCC,,,8.7,,C,25.0,1719.0,1803.0,10.0,,,128.0,,,
331,Hf0.333 Nb0.333 Ta0.333 Ti1 Zr0.667,BCC,CAST,BCC,,,8.2,301.0,T,25.0,903.0,990.0,19.0,,,103.0,,,
332,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,BCC,,,9.9,,C,25.0,929.0,,50.0,,,107.0,,,
333,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,BCC,,,9.9,,C,400.0,790.0,,50.0,,,107.0,,,
334,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,BCC,,,9.9,,C,600.0,675.0,,50.0,,,107.0,,,
335,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,BCC,,,9.9,,C,800.0,535.0,,50.0,,,107.0,,,
336,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,BCC,,,9.9,,C,1000.0,295.0,,50.0,,,107.0,,,
337,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,BCC,,,9.9,,C,1200.0,92.0,,50.0,,,107.0,,,
338,Hf1 Nb1 Ti1 Zr1,BCC,CAST,BCC,,,8.4,,T,25.0,879.0,969.0,,14.9,,89.0,,,
339,Mo1 Nb1 Ta1 V1,BCC,ANNEAL,BCC,200.0,,10.7,504.0,C,25.0,1525.0,2400.0,21.0,,,186.0,,,
340,Mo1 Nb1 Ta1 V1 W1,BCC,CAST,BCC,80.0,,12.4,536.0,C,25.0,1246.0,1270.0,2.0,,,229.0,,,
341,Mo1 Nb1 Ta1 V1 W1,BCC,CAST,BCC,,,12.4,,C,600.0,862.0,,13.0,,,229.0,,,
342,Mo1 Nb1 Ta1 V1 W1,BCC,CAST,BCC,,,12.4,,C,800.0,846.0,,17.0,,,229.0,,,
343,Mo1 Nb1 Ta1 V1 W1,BCC,CAST,BCC,,,12.4,,C,1000.0,842.0,,19.0,,,229.0,,,
344,Mo1 Nb1 Ta1 V1 W1,BCC,CAST,BCC,,,12.4,,C,1200.0,735.0,,7.5,,,229.0,,,
345,Mo1 Nb1 Ta1 V1 W1,BCC,CAST,BCC,,,12.4,,C,1400.0,656.0,,40.0,,,229.0,,,
346,Mo1 Nb1 Ta1 V1 W1,BCC,CAST,BCC,,,12.4,,C,1600.0,477.0,,40.0,,,229.0,,,
347,Mo1 Nb1 Ta1 W1,BCC,CAST,BCC,200.0,,13.7,454.0,C,25.0,1058.0,1211.0,2.0,,,250.0,,,
348,Mo1 Nb1 Ta1 W1,BCC,CAST,BCC,,,13.7,,C,600.0,561.0,,40.0,,,250.0,,,
349,Mo1 Nb1 Ta1 W1,BCC,CAST,BCC,,,13.7,,C,800.0,552.0,,40.0,,,250.0,,,
350,Mo1 Nb1 Ta1 W1,BCC,CAST,BCC,,,13.7,,C,1000.0,548.0,,40.0,,,250.0,,,
351,Mo1 Nb1 Ta1 W1,BCC,CAST,BCC,,,13.7,,C,1200.0,506.0,,40.0,,,250.0,,,
352,Mo1 Nb1 Ta1 W1,BCC,CAST,BCC,,,13.7,,C,1400.0,421.0,,40.0,,,250.0,,,
353,Mo1 Nb1 Ta1 W1,BCC,CAST,BCC,,,13.7,,C,1600.0,405.0,,40.0,,,250.0,,,
354,Mo0.3 Nb1 Ti1 V1 Zr1,BCC,ANNEAL,BCC,,,6.7,,C,25.0,1289.0,,,42.0,,114.0,,,
355,Mo0.5 Nb1 Ti1 V1 Zr1,BCC,ANNEAL,BCC,,,6.8,,C,25.0,1473.0,,,32.0,,122.0,,,
356,Mo0.7 Nb1 Ti1 V1 Zr1,BCC,ANNEAL,BCC,,,6.9,,C,25.0,1706.0,,,32.0,,130.0,,,
357,Mo1 Nb0.769 Ti0.769 V0.769 Zr0.769,BCC,ANNEAL,BCC,,,7.3,,C,25.0,1496.0,,,30.0,,150.0,,,
358,Mo1 Nb0.667 Ti0.667 V0.667 Zr0.667,BCC,ANNEAL,BCC,,,7.4,,C,25.0,1603.0,,,20.0,,156.0,,,
359,Mo1 Nb0.588 Ti0.588 V0.588 Zr0.588,BCC,ANNEAL,BCC,,,7.5,,C,25.0,1645.0,,,15.0,,161.0,,,
360,Mo1 Nb0.5 Ti0.5 V0.5 Zr0.5,BCC,ANNEAL,BCC,,,7.6,,C,25.0,1765.0,,,12.0,,169.0,,,
361,Mo1 Nb1 Ti1 V1 Zr1,BCC,ANNEAL,BCC,,,7.1,,C,25.0,1779.0,,,32.0,,141.0,,,
362,Mo1 Nb1 Ti1 V0.3 Zr1,BCC,ANNEAL,BCC,,,7.2,,C,25.0,1455.0,,,25.0,,142.0,,,
363,Mo0.1 Nb1 Ti1 V0.3 Zr1,BCC,ANNEAL,BCC,,,6.6,,C,25.0,932.0,,,45.0,,102.0,,,
364,Mo0.3 Nb1 Ti1 V0.3 Zr1,BCC,ANNEAL,BCC,,,6.8,,C,25.0,1312.0,,,50.0,,112.0,,,
365,Mo0.5 Nb1 Ti1 V0.3 Zr1,BCC,ANNEAL,BCC,,,6.9,,C,25.0,1301.0,,,43.0,,122.0,,,
366,Mo0.7 Nb1 Ti1 V0.3 Zr1,BCC,ANNEAL,BCC,,,7.1,,C,25.0,1436.0,,,27.0,,130.0,,,
367,Mo1 Nb0.769 Ti0.769 V0.231 Zr0.769,BCC,ANNEAL,BCC,,,7.4,,C,25.0,1603.0,,,20.0,,153.0,,,
368,Mo1 Nb0.667 Ti0.667 V0.2 Zr0.667,BCC,ANNEAL,BCC,,,7.5,,C,25.0,1576.0,,,8.0,,159.0,,,
369,Nb1 Ti1 V0.3 Zr1,BCC,ANNEAL,BCC,,,6.5,,C,25.0,866.0,,,45.0,,96.0,,,
370,Nb1 Ti1 V1 Zr1,BCC,ANNEAL,BCC,,,6.5,,C,25.0,1104.0,,,50.0,,100.0,,,
371,Mo1 Nb1 Ti1 V0.25 Zr1,BCC,CAST,BCC,,,7.3,,C,25.0,1776.0,3893.0,30.0,,,142.0,,,
372,Mo1 Nb1 Ti1 V0.5 Zr1,BCC,CAST,BCC,,,7.2,,C,25.0,1647.0,3307.0,28.0,,,142.0,,,
373,Mo1 Nb1 Ti1 V0.75 Zr1,BCC,CAST,BCC,,,7.2,,C,25.0,1708.0,3929.0,29.0,,,141.0,,,
374,Mo1 Nb1 Ti1 V1 Zr1,BCC,CAST,BCC,,,7.1,,C,25.0,1786.0,3828.0,26.0,,,141.0,,,
375,Mo0.667 Nb0.667 Ti0.667 V1 Zr0.667,BCC,CAST,BCC,,,7.1,,C,25.0,1735.0,3300.0,20.0,,,140.0,,,
376,Mo0.5 Nb0.5 Ti0.5 V1 Zr0.5,BCC,CAST,BCC,,,7.0,,C,25.0,1538.0,3176.0,23.0,,,139.0,,,
377,Mo0.333 Nb0.333 Ti0.333 V1 Zr0.333,BCC,CAST,BCC,,,6.9,,C,25.0,1418.0,2508.0,24.0,,,138.0,,,
378,Mo1 Nb1 Ti1 Zr1,BCC,CAST,BCC,,,7.3,,C,25.0,1592.0,3450.0,34.0,,,143.0,,,
389,Co1 Fe1 Ni1 V1,FCC,CAST,FCC,,,7.8,238.0,,25.0,,,,,,184.0,,,
391,Al0.25 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,BCC,CAST,BCC,,,7.1,,C,25.0,1465.0,2016.0,2.0,,190.0,174.0,,,
394,Cu1 Mn1 Ni1 Zn0.333,FCC,CAST,FCC,,,8.3,147.0,C,25.0,215.0,,60.0,,,167.0,,,
395,Cu1 Mn1 Ni1 Zn0.25,FCC,CAST,FCC,,,8.3,109.0,C,25.0,140.0,,65.0,,,169.0,,,
398,Al0.053 Cu1 Mn1 Ni1,FCC,CAST,FCC,,,8.3,166.0,C,25.0,330.0,,45.0,,,173.0,,,
400,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,FCC,,,7.6,,C,1000.0,150.0,,,,,189.0,,,
401,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,FCC,,,7.6,,C,25.0,388.0,,,,,189.0,,,
402,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,FCC,,,7.6,,C,300.0,411.0,,,,,189.0,,,
403,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,FCC,,,7.6,,C,500.0,421.0,,,,,189.0,,,
404,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,FCC,,,7.6,,C,700.0,426.0,,,,,189.0,,,
405,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,FCC,,,7.6,,C,900.0,230.0,,,,,189.0,,,
406,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,FCC,,,7.6,,C,1100.0,80.0,,,,,189.0,,,
407,Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,BCC,CAST,BCC,,,6.3,,C,1000.0,116.0,,,,,156.0,,,
408,Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,BCC,CAST,BCC,,,6.3,,C,1100.0,79.0,,,,,156.0,,,
409,Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,BCC,CAST,BCC,,,6.3,,C,25.0,1620.0,,,,,156.0,,,
410,Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,BCC,CAST,BCC,,,6.3,,C,600.0,805.0,,,,,156.0,,,
411,Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,BCC,CAST,BCC,,,6.3,,C,500.0,1120.0,,,,,156.0,,,
412,Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,BCC,CAST,BCC,,,6.3,,C,700.0,567.0,,,,,156.0,,,
413,Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,BCC,CAST,BCC,,,6.3,,C,900.0,214.0,,,,,156.0,,,
414,Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,BCC,CAST,BCC,,,6.3,,C,800.0,302.0,,,,,156.0,,,
421,Al1 Cr1 Mo1 Nb1 Ti1,BCC,CAST,BCC,,,6.6,,C,25.0,,,,,,170.0,92.0,,
422,Al1 Cr1 Mo1 Nb1 Ti1,BCC,CAST,BCC,,,6.6,,C,400.0,1080.0,1100.0,2.0,,,170.0,92.0,,
423,Al1 Cr1 Mo1 Nb1 Ti1,BCC,CAST,BCC,,,6.6,,C,600.0,1060.0,1170.0,3.0,,,170.0,92.0,,
424,Al1 Cr1 Mo1 Nb1 Ti1,BCC,CAST,BCC,,,6.6,,C,800.0,860.0,1000.0,2.0,,,170.0,92.0,,
425,Al1 Cr1 Mo1 Nb1 Ti1,BCC,CAST,BCC,,,6.6,,C,1000.0,594.0,630.0,15.0,,,170.0,92.0,,
426,Al1 Cr1 Mo1 Nb1 Ti1,BCC,CAST,BCC,,,6.6,,C,1200.0,105.0,116.0,24.0,,,170.0,92.0,,
427,Al1 Cr1 Mo1 Nb1 Ti1,BCC,ANNEAL,BCC,,,6.6,,C,600.0,930.0,,,,,170.0,92.0,,
428,Al1 Cr1 Mo1 Nb1 Ti1,BCC,ANNEAL,BCC,,,6.6,,C,800.0,875.0,,,,,170.0,,,
429,Al1 Cr1 Mo1 Nb1 Ti1,BCC,ANNEAL,BCC,,,6.6,,C,1000.0,550.0,,,,,170.0,,,
430,Al1 Cr1 Mo1 Nb1 Ti1,BCC,ANNEAL,BCC,,,6.6,,C,1200.0,150.0,,,,,170.0,,,
431,Al1 Cr1 Mo1 Ti1,BCC,ANNEAL,BCC,,,6.0,,C,400.0,1070.0,,,,,189.0,,,
432,Al1 Cr1 Mo1 Ti1,BCC,ANNEAL,BCC,,,6.0,,C,600.0,1020.0,,,,,189.0,,,
433,Al1 Cr1 Mo1 Ti1,BCC,ANNEAL,BCC,,,6.0,,C,800.0,875.0,,,,,189.0,,,
434,Al1 Cr1 Mo1 Ti1,BCC,ANNEAL,BCC,,,6.0,,C,1000.0,375.0,,,,,189.0,,,
435,Al1 Cr1 Mo1 Ti1,BCC,ANNEAL,BCC,,,6.0,,C,1200.0,100.0,,,,,189.0,,,
436,Al1 Mo1 Nb1 Ti1,BCC,ANNEAL,BCC,,,6.5,,C,600.0,520.0,,,,,151.0,,,
437,Al1 Mo1 Nb1 Ti1,BCC,ANNEAL,BCC,,,6.5,,C,800.0,500.0,,,,,151.0,,,
438,Al1 Mo1 Nb1 Ti1,BCC,ANNEAL,BCC,,,6.5,,C,1000.0,540.0,,,,,151.0,,,
439,Al1 Mo1 Nb1 Ti1,BCC,ANNEAL,BCC,,,6.5,,C,1200.0,200.0,,,,,151.0,,,
461,Co1 Cr1 Mo1 Nb1 Ti0.4,BCC,CAST,BCC,,,8.3,,C,25.0,,1771.3,,,,212.0,,,
469,Hf1 Nb1 Ti1 V1 Zr1,BCC,ANNEAL,BCC,,,8.1,,C,25.0,1253.0,1393.0,,,,95.0,,,
470,Hf1 Nb1 Ti1 V1 Zr1,BCC,ANNEAL,BCC,,,8.1,,C,25.0,1140.0,1463.0,,,,95.0,,,
471,Hf1 Nb1 Ti1 V1 Zr1,BCC,ANNEAL,BCC,,,8.1,,C,25.0,1120.0,1376.0,30.0,,,95.0,,,
479,Hf0.26 Nb1 Ta1 Ti0.578 Zr0.416,BCC,CAST,BCC,,,10.4,,C,60.0,795.0,,,,,122.0,,,
480,Hf0.26 Nb1 Ta1 Ti0.578 Zr0.416,BCC,CAST,BCC,,,10.4,,C,100.0,765.0,,,,,122.0,,,
481,Hf0.26 Nb1 Ta1 Ti0.578 Zr0.416,BCC,CAST,BCC,,,10.4,,C,200.0,650.0,,,,,122.0,,,
482,Hf0.26 Nb1 Ta1 Ti0.578 Zr0.416,BCC,CAST,BCC,,,10.4,,C,300.0,590.0,,,,,122.0,,,
483,Hf0.26 Nb1 Ta1 Ti0.578 Zr0.416,BCC,CAST,BCC,,,10.4,,C,25.0,845.0,,,,,122.0,,,
490,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,-268.8,2250.0,,,,,100.0,,,
491,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,-268.8,2210.0,,,,,100.0,,,
