,FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: Calculated Young modulus (GPa)
250,Al0.214 Nb0.714 Ta0.571 Ti1 V0.143 Zr0.929,BCC,OTHER,7.7,C,25.0,1965.0,107.0
251,Al0.214 Nb0.714 Ta0.571 Ti1 V0.143 Zr0.929,BCC,OTHER,7.7,C,800.0,678.0,107.0
252,Al0.214 Nb0.714 Ta0.571 Ti1 V0.143 Zr0.929,BCC,OTHER,7.7,C,1000.0,166.0,107.0
253,Al0.214 Nb0.714 Ta0.714 Ti1 Zr0.929,BCC,OTHER,8.1,C,25.0,1965.0,110.0
254,Al0.214 Nb0.714 Ta0.714 Ti1 Zr0.929,BCC,OTHER,8.1,C,800.0,362.0,110.0
255,Al0.214 Nb0.714 Ta0.714 Ti1 Zr0.929,BCC,OTHER,8.1,C,1000.0,236.0,110.0
256,Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,9.1,C,25.0,1841.0,107.0
257,Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,9.1,C,800.0,796.0,107.0
258,Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,9.1,C,1000.0,298.0,107.0
259,Al0.333 Nb0.667 Ta0.533 Ti1 V0.133 Zr0.667,BCC,OTHER,7.6,C,25.0,2035.0,109.0
260,Al0.333 Nb0.667 Ta0.533 Ti1 V0.133 Zr0.667,BCC,OTHER,7.6,C,800.0,796.0,109.0
261,Al0.333 Nb0.667 Ta0.533 Ti1 V0.133 Zr0.667,BCC,OTHER,7.6,C,1000.0,220.0,109.0
266,Al0.667 Nb1 Ta0.333 Ti1 Zr0.333,BCC,OTHER,6.8,C,25.0,1280.0,105.0
267,Al0.667 Nb1 Ta0.333 Ti1 Zr0.333,BCC,OTHER,6.8,C,800.0,728.0,105.0
268,Al0.667 Nb1 Ta0.333 Ti1 Zr0.333,BCC,OTHER,6.8,C,1000.0,403.0,105.0
269,Al0.3 Hf1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,9.5,C,25.0,1188.0,105.0
270,Al0.5 Hf1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,9.3,C,25.0,1302.0,104.0
271,Al0.75 Hf1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,9.1,C,25.0,1415.0,103.0
273,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,9.9,C,25.0,1073.0,107.0
274,Al0.25 Mo1 Nb1 Ti1 V1,BCC,CAST,7.1,C,25.0,1250.0,161.0
275,Al0.5 Mo1 Nb1 Ti1 V1,BCC,CAST,6.8,C,25.0,1625.0,156.0
276,Al0.75 Mo1 Nb1 Ti1 V1,BCC,CAST,6.6,C,25.0,1260.0,151.0
277,Al1 Mo1 Nb1 Ti1 V1,BCC,CAST,6.4,C,25.0,1375.0,147.0
278,Mo1 Nb1 Ti1 V1,BCC,CAST,7.3,C,25.0,1200.0,167.0
279,Al0.25 Nb1 Ta1 Ti1 V1,BCC,CAST,8.8,C,25.0,1330.0,130.0
280,Al0.5 Nb1 Ta1 Ti1 V1,BCC,CAST,8.5,C,25.0,1014.0,127.0
281,Al1 Nb1 Ta1 Ti1 V1,BCC,CAST,7.9,C,25.0,993.0,122.0
282,Nb1 Ta1 Ti1 V1,BCC,CAST,9.2,C,25.0,1092.0,134.0
283,Al1 Nb1 Ti1 V1,BCC,ANNEAL,5.5,C,25.0,1020.0,104.0
284,Al1 Nb1 Ti1 V1,BCC,ANNEAL,5.5,C,600.0,810.0,104.0
285,Al1 Nb1 Ti1 V1,BCC,ANNEAL,5.5,C,800.0,685.0,104.0
286,Al1 Nb1 Ti1 V1,BCC,ANNEAL,5.5,C,1000.0,158.0,104.0
299,Nb0.5 Ti0.5 V1 Zr0.5,BCC,OTHER,6.4,C,25.0,918.0,105.0
300,Nb0.5 Ti0.5 V1 Zr0.5,BCC,OTHER,6.4,C,600.0,571.0,105.0
301,Nb0.5 Ti0.5 V1 Zr0.5,BCC,OTHER,6.4,C,800.0,240.0,105.0
302,Nb0.5 Ti0.5 V1 Zr0.5,BCC,OTHER,6.4,C,1000.0,72.0,105.0
303,Nb1 Ti1 V1 Zr1,BCC,OTHER,6.5,C,25.0,1105.0,100.0
304,Nb1 Ti1 V1 Zr1,BCC,OTHER,6.5,C,600.0,834.0,100.0
305,Nb1 Ti1 V1 Zr1,BCC,OTHER,6.5,C,800.0,187.0,100.0
306,Nb1 Ti1 V1 Zr1,BCC,OTHER,6.5,C,1000.0,58.0,100.0
307,Hf0.5 Mo0.5 Nb1 Ti1 Zr1,BCC,CAST,7.9,C,25.0,1176.0,115.0
310,Hf1 Mo0.25 Nb1 Ta1 Ti1 Zr1,BCC,CAST,9.9,C,25.0,1112.0,115.0
311,Hf1 Mo0.5 Nb1 Ta1 Ti1 Zr1,BCC,CAST,9.9,C,25.0,1317.0,123.0
312,Hf1 Mo0.75 Nb1 Ta1 Ti1 Zr1,BCC,CAST,9.9,C,25.0,1373.0,130.0
313,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,9.9,C,25.0,1512.0,137.0
314,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,9.9,C,25.0,1015.0,107.0
315,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,9.9,C,25.0,1512.0,137.0
316,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,9.9,C,800.0,1007.0,137.0
317,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,9.9,C,1000.0,814.0,137.0
318,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,9.9,C,1200.0,556.0,137.0
319,Hf1 Mo1 Ta1 Ti1 Zr1,BCC,CAST,10.2,C,25.0,1600.0,143.0
320,Hf1 Mo1 Ta1 Ti1 Zr1,BCC,CAST,10.2,C,800.0,1045.0,143.0
321,Hf1 Mo1 Ta1 Ti1 Zr1,BCC,CAST,10.2,C,1000.0,855.0,143.0
322,Hf1 Mo1 Ta1 Ti1 Zr1,BCC,CAST,10.2,C,1200.0,404.0,143.0
323,Hf1 Mo1 Nb1 Ti1 Zr1,BCC,ANNEAL,8.7,C,25.0,1575.0,128.0
324,Hf1 Mo1 Nb1 Ti1 Zr1,BCC,ANNEAL,8.7,C,800.0,825.0,128.0
325,Hf1 Mo1 Nb1 Ti1 Zr1,BCC,ANNEAL,8.7,C,1000.0,635.0,128.0
326,Hf1 Mo1 Nb1 Ti1 Zr1,BCC,ANNEAL,8.7,C,1200.0,187.0,128.0
327,Hf1 Mo1 Nb1 Ti1 Zr1,BCC,CAST,8.7,C,25.0,1719.0,128.0
331,Hf0.333 Nb0.333 Ta0.333 Ti1 Zr0.667,BCC,CAST,8.2,T,25.0,903.0,103.0
332,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,9.9,C,25.0,929.0,107.0
333,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,9.9,C,400.0,790.0,107.0
334,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,9.9,C,600.0,675.0,107.0
335,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,9.9,C,800.0,535.0,107.0
