,FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: Calculated Young modulus (GPa)
1343,Al0.286 Cr0.343 Fe1 Mn0.657 Ni0.571,FCC,WROUGHT,7.2,T,25.0,1400.0,195.0
1347,Co1 Cr1 Fe1 Mo0.15 Ni1,FCC,CAST,8.3,T,25.0,489.0,231.0
1350,Co1 Cr1 Fe1 Mo0.15 Ni1,FCC,WROUGHT,8.3,T,25.0,1136.0,231.0
1351,Co1 Cr1 Fe1 Mo0.15 Ni1,FCC,WROUGHT,8.3,T,25.0,1301.0,231.0
1369,Al0.333 Co0.333 Cu0.333 Fe0.333 Ni1,FCC,CAST,7.5,C,25.0,268.0,167.0
1374,Co1 Cr0.2 Fe1 Ni1 Si0.2,FCC,CAST,7.8,T,25.0,225.0,195.0
1375,Co1 Cr0.2 Fe1 Ni1 Si0.2,FCC,WROUGHT,7.8,T,25.0,705.0,195.0
1376,Co1 Cr0.2 Fe1 Ni1 Si0.2,FCC,WROUGHT,7.8,T,25.0,320.0,195.0
1377,Al1 Cu0.077 Fe0.077 Mg0.077 Si0.231 Zn0.077,FCC,CAST,3.2,C,25.0,422.0,73.0
1378,Al1 Cu0.077 Mg0.077 Ni0.077 Si0.231 Zn0.077,FCC,CAST,3.2,C,25.0,534.0,72.0
1379,Al1 Cr0.077 Cu0.077 Mg0.077 Si0.231 Zn0.077,FCC,CAST,3.1,C,25.0,490.0,75.0
1380,Al1 Cu0.077 Mg0.077 Mn0.077 Si0.231 Zn0.077,FCC,CAST,3.2,C,25.0,622.0,73.0
1382,Co1 Cr1 Fe1 Mo0.2 Ni1,FCC,CAST,8.3,T,25.0,400.0,232.0
1406,Cr1 Fe1 Ni1 Ti0.4,BCC,CAST,7.4,C,25.0,2475.41,212.0
1407,Cr1 Fe1 Ni1 Ti0.5,BCC,CAST,7.3,C,25.0,2380.79,208.0
1408,Cr1 Fe1 Ni1 Ti0.6,BCC,CAST,7.2,C,25.0,1923.15,204.0
1436,Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,8.3,C,25.0,300.0,206.0
1445,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,9.9,T,25.0,1155.0,107.0
1446,Nb1 Ta1 Ti1 Zr1,BCC,CAST,8.9,T,25.0,1144.0,115.0
1447,Nb1 Ta1 Ti1,BCC,CAST,10.0,T,25.0,620.0,136.0
1449,Nb1 Ti1 Zr1,BCC,CAST,6.5,T,25.0,956.0,94.0
1474,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,9.9,C,25.0,1512.0,137.0
1475,Hf1 Mo1 Ta1 Ti1 Zr1,BCC,CAST,10.2,C,25.0,1600.0,143.0
1476,Hf1 Mo1 Nb1 Ti1 Zr1,BCC,CAST,8.7,C,25.0,1351.0,128.0
1477,Hf1 Mo1 Nb1 Ta1 Zr1,BCC,CAST,10.9,C,25.0,1524.0,141.0
1478,Hf1 Mo1 Nb1 Ta1 Ti1,BCC,CAST,10.8,C,25.0,1369.0,155.0
1479,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,9.9,C,800.0,1007.0,137.0
1480,Hf1 Mo1 Ta1 Ti1 Zr1,BCC,CAST,10.2,C,800.0,1045.0,143.0
1481,Hf1 Mo1 Nb1 Ti1 Zr1,BCC,CAST,8.7,C,800.0,829.0,128.0
1482,Hf1 Mo1 Nb1 Ta1 Zr1,BCC,CAST,10.9,C,800.0,1005.0,141.0
1483,Hf1 Mo1 Nb1 Ta1 Ti1,BCC,CAST,10.8,C,800.0,822.0,155.0
1484,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,9.9,C,1000.0,814.0,137.0
1485,Hf1 Mo1 Ta1 Ti1 Zr1,BCC,CAST,10.2,C,1000.0,855.0,143.0
1486,Hf1 Mo1 Nb1 Ti1 Zr1,BCC,CAST,8.7,C,1000.0,721.0,128.0
1487,Hf1 Mo1 Nb1 Ta1 Zr1,BCC,CAST,10.9,C,1000.0,927.0,141.0
1488,Hf1 Mo1 Nb1 Ta1 Ti1,BCC,CAST,10.8,C,1000.0,778.0,155.0
1489,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,9.9,C,1200.0,556.0,137.0
1490,Hf1 Mo1 Ta1 Ti1 Zr1,BCC,CAST,10.2,C,1200.0,404.0,143.0
1491,Hf1 Mo1 Nb1 Ti1 Zr1,BCC,CAST,8.7,C,1200.0,301.0,128.0
1492,Hf1 Mo1 Nb1 Ta1 Zr1,BCC,CAST,10.9,C,1200.0,694.0,141.0
1493,Hf1 Mo1 Nb1 Ta1 Ti1,BCC,CAST,10.8,C,1200.0,699.0,155.0
1494,Hf1 Mo1 Nb1 Ta1 Zr1,BCC,CAST,10.9,C,1400.0,278.0,141.0
1495,Hf1 Mo1 Nb1 Ta1 Ti1,BCC,CAST,10.8,C,1400.0,367.0,155.0
1500,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,9.9,T,25.0,1438.0,107.0
1501,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,9.9,T,25.0,1159.0,107.0
1502,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,9.9,T,25.0,1134.0,107.0
1503,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,9.9,T,25.0,1094.0,107.0
1504,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,9.9,T,25.0,1071.0,107.0
1505,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,9.9,T,25.0,1107.0,107.0
1506,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,9.9,T,25.0,1115.0,107.0
1507,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,9.9,T,25.0,1114.0,107.0
