,PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Type of test::C,PROPERTY: Type of test::T,PROPERTY: Processing method::CAST,PROPERTY: Processing method::WROUGHT,PROPERTY: Processing method::ANNEAL,PROPERTY: Processing method::OTHER,PROPERTY: Processing method::POWDER,PROPERTY: Microstructure::BCC,PROPERTY: Microstructure::FCC,FORMULA::Al,FORMULA::Co,FORMULA::Fe,FORMULA::Ni,FORMULA::Si,FORMULA::Cr,FORMULA::Mn,FORMULA::Mo,FORMULA::Nb,FORMULA::Cu,FORMULA::Ti,FORMULA::V,FORMULA::Ta,FORMULA::Zr,FORMULA::Hf,FORMULA::W,FORMULA::Zn,FORMULA::Re,FORMULA::Mg
241,6.1,25.0,1074.0,137.0,1,0,1,0,0,0,0,0,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,5.7,25.0,300.0,122.0,1,0,1,0,0,0,0,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,7.7,25.0,1965.0,107.0,1,0,0,0,0,1,0,1,0,0.214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.714,0.0,1.0,0.143,0.571,0.929,0.0,0.0,0.0,0.0,0.0
251,7.7,800.0,678.0,107.0,1,0,0,0,0,1,0,1,0,0.214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.714,0.0,1.0,0.143,0.571,0.929,0.0,0.0,0.0,0.0,0.0
252,7.7,1000.0,166.0,107.0,1,0,0,0,0,1,0,1,0,0.214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.714,0.0,1.0,0.143,0.571,0.929,0.0,0.0,0.0,0.0,0.0
253,8.1,25.0,1965.0,110.0,1,0,0,0,0,1,0,1,0,0.214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.714,0.0,1.0,0.0,0.714,0.929,0.0,0.0,0.0,0.0,0.0
254,8.1,800.0,362.0,110.0,1,0,0,0,0,1,0,1,0,0.214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.714,0.0,1.0,0.0,0.714,0.929,0.0,0.0,0.0,0.0,0.0
255,8.1,1000.0,236.0,110.0,1,0,0,0,0,1,0,1,0,0.214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.714,0.0,1.0,0.0,0.714,0.929,0.0,0.0,0.0,0.0,0.0
256,9.1,25.0,1841.0,107.0,1,0,0,0,0,1,0,1,0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.6,0.0,0.0,0.0,0.0
257,9.1,800.0,796.0,107.0,1,0,0,0,0,1,0,1,0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.6,0.0,0.0,0.0,0.0
258,9.1,1000.0,298.0,107.0,1,0,0,0,0,1,0,1,0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.6,0.0,0.0,0.0,0.0
259,7.6,25.0,2035.0,109.0,1,0,0,0,0,1,0,1,0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.0,1.0,0.133,0.533,0.667,0.0,0.0,0.0,0.0,0.0
260,7.6,800.0,796.0,109.0,1,0,0,0,0,1,0,1,0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.0,1.0,0.133,0.533,0.667,0.0,0.0,0.0,0.0,0.0
261,7.6,1000.0,220.0,109.0,1,0,0,0,0,1,0,1,0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.0,1.0,0.133,0.533,0.667,0.0,0.0,0.0,0.0,0.0
266,6.8,25.0,1280.0,105.0,1,0,0,0,0,1,0,1,0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.333,0.333,0.0,0.0,0.0,0.0,0.0
267,6.8,800.0,728.0,105.0,1,0,0,0,0,1,0,1,0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.333,0.333,0.0,0.0,0.0,0.0,0.0
268,6.8,1000.0,403.0,105.0,1,0,0,0,0,1,0,1,0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.333,0.333,0.0,0.0,0.0,0.0,0.0
269,9.5,25.0,1188.0,105.0,1,0,1,0,0,0,0,1,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
270,9.3,25.0,1302.0,104.0,1,0,1,0,0,0,0,1,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
271,9.1,25.0,1415.0,103.0,1,0,1,0,0,0,0,1,0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
273,9.9,25.0,1073.0,107.0,1,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
274,7.1,25.0,1250.0,161.0,1,0,1,0,0,0,0,1,0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275,6.8,25.0,1625.0,156.0,1,0,1,0,0,0,0,1,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,6.6,25.0,1260.0,151.0,1,0,1,0,0,0,0,1,0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
277,6.4,25.0,1375.0,147.0,1,0,1,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278,7.3,25.0,1200.0,167.0,1,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279,8.8,25.0,1330.0,130.0,1,0,1,0,0,0,0,1,0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
280,8.5,25.0,1014.0,127.0,1,0,1,0,0,0,0,1,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
